Resident_Type,Sq_Ft,Market_Rent,Lease_Charges,Security_Deposit,Other_Deposits,Num_Units,Pct_Unit_Occupancy,Pct_Sqft_Occupied,Balance,Property_ID,Property_Name,Report_Date
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,153a,Abbot Mill,02/25/2026
Total Vacant Units,3842.0,11094.0,0.0,0.0,0.0,4,17.39,16.97,0.0,153a,Abbot Mill,02/25/2026
Current/Notice/Vacant Residents,236667.0,417895.5,415606.08,354662.5,0.0,266,95.11,95.14,193046.5,462a,Stony Run,02/25/2026
Future Residents/Applicants,2648.0,4914.0,0.0,2160.0,0.0,3,0.0,0.0,-5716.6,462a,Stony Run,02/25/2026
Occupied Units,225174.0,395712.5,0.0,0.0,0.0,253,95.11,95.14,0.0,462a,Stony Run,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,462a,Stony Run,02/25/2026
Total Vacant Units,11493.0,22183.0,0.0,0.0,0.0,13,4.88,4.85,0.0,462a,Stony Run,02/25/2026
Current/Notice/Vacant Residents,268812.0,614034.0,0.0,341033.0,0.0,300,97.33,97.0,36197.11,176r,The Alexander,02/25/2026
Future Residents/Applicants,4264.0,9058.0,0.0,0.0,0.0,4,0.0,0.0,0.0,176r,The Alexander,02/25/2026
Occupied Units,260749.0,596327.0,0.0,0.0,0.0,292,97.33,97.0,0.0,176r,The Alexander,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,176r,The Alexander,02/25/2026
Total Vacant Units,8063.0,17707.0,0.0,0.0,0.0,8,2.66,2.99,0.0,176r,The Alexander,02/25/2026
Current/Notice/Vacant Residents,260778.0,763814.0,791650.93,706158.25,0.0,300,96.0,95.74,-35465.66,115r,Canfield Park,02/25/2026
Future Residents/Applicants,8202.0,23961.0,0.0,18550.0,0.0,9,0.0,0.0,-19032.0,115r,Canfield Park,02/25/2026
Occupied Units,249692.0,731492.0,0.0,0.0,0.0,288,96.0,95.74,0.0,115r,Canfield Park,02/25/2026
Total Non Rev Units,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,115r,Canfield Park,02/25/2026
Total Vacant Units,11086.0,32322.0,0.0,0.0,0.0,12,4.0,4.25,0.0,115r,Canfield Park,02/25/2026
